SN228: c:0.057103518214149156 t0:0.06031269767742655 x0:1.7368347932964046e-05 x1:0.0778764415011786 
SN229: c:0.03692143640972031 t0:0.029482313459199046 x0:6.125965097979953e-05 x1:0.06008969603287172 
SN230: c:0.06556826014480822 t0:0.05876866260264535 x0:9.162934624091921e-05 x1:0.1092882364567298 
SN231: c:0.045901460667466615 t0:0.05649080700337991 x0:2.2584678468908966e-05 x1:0.07210996740777743 
SN232: c:0.03676121440394432 t0:0.04275019308946587 x0:5.660520850258842e-06 x1:0.08183075977566068 
SN233: c:0.061900641639209324 t0:0.061689033237655386 x0:2.0430424841689483e-05 x1:0.06614949698371791 
SN234: c:0.062109139916193074 t0:0.03665649476592579 x0:0.0020149482431693305 x1:0.04067642172363196 
SN235: c:0.03775759054633696 t0:0.05785487106544463 x0:1.1566239620793579e-05 x1:0.10178105524549427 
SN236: c:0.06257830030729707 t0:0.06621726171207257 x0:1.5496082567988513e-05 x1:0.11277272287790553 
SN237: c:0.06677085087743141 t0:0.09277676254980262 x0:6.9735280326964596e-06 x1:0.0954608937241321 
SN238: c:0.06031468230439377 t0:0.13195492387243335 x0:6.751257436743119e-06 x1:0.408310579589521 
SN239: c:0.05170434906907824 t0:0.0692763959281624 x0:1.5538551587925314e-05 x1:0.1355772689659194 
SN240: c:0.03114743564883316 t0:0.043761833939123966 x0:2.2004682878316287e-05 x1:0.03397585533850069 
SN241: c:0.3735527629795137 t0:0.15359516676596294 x0:0.00017031512905670774 x1:16.742392404657313 
SN242: c:0.05429324142989948 t0:0.05687260839143847 x0:1.4352418221742796e-05 x1:0.08427784108928088 
SN243: c:0.047908913766000635 t0:0.06060845115487798 x0:1.1045112061477014e-05 x1:0.08446578973493939 
SN244: c:0.06073689110464522 t0:0.11690850087059186 x0:9.069390631951896e-06 x1:0.1353436725168403 
SN245: c:0.08995237881191621 t0:0.25218963815325995 x0:1.686854754080599e-05 x1:0.3832017721901132 
SN246: c:0.029383478179103285 t0:0.040150301788810565 x0:6.34681896343353e-05 x1:0.06205158236330006 
SN247: c:0.06483905293104078 t0:0.10872511183740353 x0:1.5955231939840007e-05 x1:0.1323865576323067 
SN248: c:0.053299916660254035 t0:0.09827719904601145 x0:1.8137334784259345e-05 x1:0.06898086480661207 
SN249: c:0.06004920687197633 t0:0.06701001428497333 x0:7.883036090799859e-06 x1:0.1655456055967629 
SN250: c:0.027494346988468112 t0:0.041291017689175584 x0:8.477535006531815e-06 x1:0.037909297213914485 
SN251: c:0.04320689744700334 t0:0.22925902594739417 x0:8.954770508752038e-05 x1:1.969398892135131 
SN252: c:0.04388619471060208 t0:0.09761193802630512 x0:3.399240472387922e-05 x1:0.0852661094413475 
SN253: c:0.06627332249400138 t0:0.8315319217894552 x0:0.0003445023022362076 x1:1.4766043024264355 
