SN198: c:0.0507218096364 t0:0.0550805655693 x0:4.16393689401e-05 x1:0.0967031864395 
SN199: c:0.0331501042138 t0:0.0516610483567 x0:4.12708780535e-05 x1:0.1079830213 
SN200: c:0.0395847356546 t0:0.0591156539811 x0:1.49326381794e-05 x1:0.153819189123 
SN201: c:0.0557572808855 t0:0.140850418649 x0:1.15795766966e-05 x1:0.167096615489 
SN202: c:0.0686902266684 t0:0.0685026914765 x0:4.45368139104e-05 x1:0.149561036693 
SN203: c:0.0459550653045 t0:0.0458611403877 x0:7.28977513574e-05 x1:0.0563679651743 
SN204: c:0.00777732283761 t0:0.00639142649515 x0:4.51882727402e-05 x1:0.00507020715224 
SN205: c:0.0647058403103 t0:0.05007582743 x0:1.56660223183e-05 x1:0.0905679227046 
SN206: c:0.0600475514873 t0:0.0604303415941 x0:1.31640633194e-05 x1:0.0797554937179 
SN207: c:0.0133848759246 t0:0.0159287359724 x0:0.000334889924371 x1:0.0258864044716 
SN208: c:0.0434446673106 t0:0.0521894698968 x0:1.02782293944e-05 x1:0.172268457989 
SN209: c:0.0431512083646 t0:0.0347139896772 x0:2.67458730339e-05 x1:0.0348503501467 
SN210: c:0.0325193112509 t0:0.0266349024571 x0:8.95061047594e-05 x1:0.0485889203571 
SN211: c:0.0757803901796 t0:0.0678083040683 x0:1.33635781605e-05 x1:0.140432669009 
SN212: c:0 t0:0 x0:0 x1:0
SN213: c:0.0372360702944 t0:0.0387876118665 x0:7.00848336796e-05 x1:0.0672864806338 
SN214: c:0.02280924918 t0:0.0261576968563 x0:0.000172371650885 x1:0.0444862739092 
SN215: c:0.0662034180191 t0:0.0671046542705 x0:1.36960683803e-05 x1:0.123028469813 
SN216: c:0.0140397618917 t0:0.0145958022106 x0:0.000330277343528 x1:0.0231703520345 
SN217: c:0.0111583504313 t0:0.0110328574228 x0:0.000411823146205 x1:0.0185441455409 
SN218: c:0.0120512887349 t0:0.011555377537 x0:0.000433312574725 x1:0.0160697253584 
SN219: c:0.0342415287284 t0:0.0315389629901 x0:3.0838099766e-05 x1:0.0285257161118 
SN220: c:0.0289921328497 t0:0.0377940765891 x0:1.74435175783e-05 x1:0.108393417725 
SN221: c:0.0617042416436 t0:0.071941824033 x0:1.96608637973e-05 x1:0.14375362343 
SN222: c:0.0354256880598 t0:0.0302204500438 x0:1.70903263575e-05 x1:0.03619373342 
SN223: c:0.0146928249242 t0:0.0142208022914 x0:1.47592834248e-05 x1:0.0082413309766 
SN224: c:0.0127900124827 t0:0.0161489914476 x0:8.42766620208e-05 x1:0.0471864238399 
SN225: c:0.0681459836597 t0:0.0709099111951 x0:6.04152655014e-05 x1:0.127591997522 
SN226: c:0.0511900007102 t0:0.0656537151596 x0:2.88206931233e-05 x1:0.125379293052 
SN227: c:0.0496755275858 t0:0.0501220550567 x0:2.64564909298e-05 x1:0.0896142566362 
SN228: c:0.0394966408896 t0:0.0510052288917 x0:3.89604192277e-05 x1:0.104048829008 
