time flux flux_err zp zpsys filter
-2451563.153988 585.7192829999995 25.25856284441279 25.47 ab kst
-2451563.133555 618.7854880000004 26.498024441548147 25.47 ab kst
-2451563.113121 584.3525899999995 25.19664115030232 25.47 ab kst
-2451563.092687 575.023287 24.847924909971503 25.47 ab kst
-2451563.072254 577.4827329999998 24.923331983192334 25.47 ab kst
-2451563.05182 576.3350630000004 24.89024361931449 25.47 ab kst
-2451563.031387 552.4792159999997 23.968834996748573 25.47 ab kst
-2451563.010953 603.818053 25.9357500931073 25.47 ab kst
-2451562.970086 608.3641500000003 26.07109231663331 25.47 ab kst
-2451562.949652 631.8939719999998 26.942990184658502 25.47 ab kst
-2451562.929219 609.3703020000003 26.092487844366318 25.47 ab kst
-2451562.908785 667.9621619999998 28.27785647642983 25.47 ab kst
-2451562.888351 625.3305229999996 26.667571849689534 25.47 ab kst
-2451562.867918 642.3902189999999 27.307332811145113 25.47 ab kst
-2451562.847484 641.0427159999999 27.25100501388121 25.47 ab kst
-2451562.827051 652.6396079999995 27.67862346899988 25.47 ab kst
-2451562.806617 629.6812330000002 26.818480593743065 25.47 ab kst
-2451562.786183 682.5912850000004 28.772503287321992 25.47 ab kst
-2451562.76575 615.7847000000002 26.290525907271032 25.47 ab kst
-2451562.704449 628.5169210000004 26.746546740455123 25.47 ab kst
-2451562.684015 639.9253390000003 27.15857968458748 25.47 ab kst
-2451562.663582 635.973215 27.006645239732848 25.47 ab kst
-2451562.643148 645.6854789999998 27.361758823637263 25.47 ab kst
-2451562.622714 650.3022209999999 27.525179193139483 25.47 ab kst
-2451562.602281 669.5838880000001 28.235908894707997 25.47 ab kst
-2451562.581847 653.0830229999992 27.616743918844513 25.47 ab kst
-2451562.561414 657.1971189999995 27.77520777980422 25.47 ab kst
-2451562.54098 649.8248109999995 27.485944048536776 25.47 ab kst
-2451562.520546 630.2727789999999 26.756227274186728 25.47 ab kst
-2451562.500113 634.2400319999997 26.90210543674054 25.47 ab kst
-2451562.479679 612.8901109999997 26.099092375319906 25.47 ab kst
-2451562.459246 597.16561 25.515843656987155 25.47 ab kst
-2451562.438812 610.1855230000001 25.98978978842016 25.47 ab kst
-2451562.418378 626.0956729999998 26.58287178264659 25.47 ab kst
-2451562.397945 608.1508840000006 25.91175137752516 25.47 ab kst
-2451562.377511 596.7262869999995 25.481408158235254 25.47 ab kst
-2451562.357078 561.2168460000003 24.130497190801613 25.47 ab kst
-2451562.336644 601.1487319999997 25.635089089155436 25.47 ab kst
-2451562.31621 571.1989659999999 24.502087054270675 25.47 ab kst
-2451562.295777 563.1205650000002 24.189270323051296 25.47 ab kst
-2451562.275343 549.3442569999997 23.66791755169761 25.47 ab kst
-2451562.234476 644.6397870000001 27.2068607775585 25.47 ab kst
-2451562.214042 641.1271459999998 27.078408534519326 25.47 ab kst
-2451562.193609 648.7852320000002 27.33676836247605 25.47 ab kst
-2451562.173175 645.7188139999998 27.21847291010376 25.47 ab kst
-2451562.152742 639.0035119999993 26.97379792024763 25.47 ab kst
-2451562.132308 635.3036240000001 26.83651464634831 25.47 ab kst
-2451562.111874 613.6582930000004 26.018865502086886 25.47 ab kst
-2451562.071007 633.2502619999996 26.73888876650494 25.47 ab kst
-2451562.050574 606.2404130000004 25.733322961275743 25.47 ab kst
-2451562.03014 581.4211409999998 24.79395154247118 25.47 ab kst
-2451561.989273 621.2391180000004 26.256828869990862 25.47 ab kst
-2451561.968839 635.7477600000002 26.789410972842475 25.47 ab kst
-2451561.948406 644.2601109999996 27.107687019467452 25.47 ab kst
-2451561.927972 659.8363079999999 27.670945049360288 25.47 ab kst
-2451561.907538 662.8372760000002 27.77573982535116 25.47 ab kst
-2451561.887105 662.5604759999997 27.740465981636042 25.47 ab kst
-2451561.866671 651.4655110000003 27.346338702662578 25.47 ab kst
-2451561.846237 655.195721 27.474579085653193 25.47 ab kst
-2451561.825804 642.398271 26.996004990851382 25.47 ab kst
-2451561.80537 642.3473830000003 26.984886139584365 25.47 ab kst
-2451561.784937 611.8520799999997 25.857633752024775 25.47 ab kst
-2451561.744069 639.192505 26.85337953289153 25.47 ab kst
-2451561.723636 636.1971960000001 26.753705265848854 25.47 ab kst
-2451561.703202 634.8032860000003 26.676797575041096 25.47 ab kst
-2451561.682769 633.6402079999998 26.63427853787417 25.47 ab kst
-2451561.662335 633.4904740000002 26.629331833748914 25.47 ab kst
-2451561.641902 661.1105360000001 27.628253706382147 25.47 ab kst
-2451561.621468 634.3144769999999 26.634478487832112 25.47 ab kst
-2451561.601034 665.1053819999997 27.769893057316413 25.47 ab kst
-2451561.580601 663.0993509999998 27.688222080263607 25.47 ab kst
-2451561.560167 676.179607 28.160771512626365 25.47 ab kst
-2451561.539733 667.0957549999994 27.817905869625758 25.47 ab kst
-2451561.5193 599.5230920000004 25.329760994769977 25.47 ab kst
-2451561.498866 680.9173609999998 28.30212027756828 25.47 ab kst
