SN148: c:-0.06676396388297212 mwebv:0.12389996012092422 t0:58656.53894887226 x0:0.00019150233045819452 x1:-0.5372426098637083 z:0.13171711690781657 
SN149: c:0.011763277130594526 mwebv:0.15483028925723427 t0:58671.03818985765 x0:0.00027396507629022244 x1:0.8429875515142563 z:0.09768419712020268 
SN150: c:-0.0658356670910076 mwebv:0.03299656838727424 t0:58915.425655338106 x0:0.0003785557164571629 x1:-0.21757436055742346 z:0.1218601073141321 
SN151: c:0.013000551354184557 mwebv:0.059071070922581785 t0:58714.349556171 x0:0.0002143651213521456 x1:-1.122752764140448 z:0.14678571357378006 
SN152: c:-0.06130704803792721 mwebv:0.22975101752772237 t0:58784.845029271724 x0:0.0001740290355519553 x1:-0.6158366255435508 z:0.14115322582137418 
SN153: c:0.18129020211038321 mwebv:0.052614974545833575 t0:58670.3162694203 x0:0.00016179444172158592 x1:-0.27837199438599275 z:0.14816276919260044 
SN154: c:0.9857358202703823 mwebv:0.07759942502518581 t0:58844.931391308 x0:5.8820404479222674e-05 x1:143.16763550224954 z:0.05056025663924893 
SN155: c:0.07734893514377622 mwebv:0.05137525013404316 t0:58760.37562030929 x0:0.0022406773860469925 x1:-0.5628623274793094 z:0.04689700804756494 
SN156: c:-0.05341821350482992 mwebv:0.08297234869026393 t0:58647.05176130661 x0:0.0004445918112828926 x1:0.5291305493357007 z:0.06613246591267037 
SN157: c:-0.05619701105825618 mwebv:0.021721925358190272 t0:58638.10917174109 x0:0.00018395590355461014 x1:-0.33568132710342924 z:0.13545386424186784 
SN158: c:0.00508487243990199 mwebv:0.0958393906950855 t0:58657.32200592543 x0:0.00018891877326309605 x1:-0.2837203719122037 z:0.12999815778291113 
SN159: c:-0.22865998581232444 mwebv:0.20338228447916692 t0:58828.05124012045 x0:0.00025300876097325255 x1:0.07856060515009278 z:0.14459651972348386 
SN160: c:0.07340442293089737 mwebv:0.1622098294976693 t0:58896.69182177495 x0:0.0002260366113903438 x1:0.26352889795934936 z:0.1293964464945159 
SN161: c:-1.9206163569633499 mwebv:14.508791930877429 t0:58772.72691102987 x0:-0.00037663919673439354 x1:0.008610503711453544 z:0.11999695246533473 
SN162: c:-0.04536384034253865 mwebv:0.0852381132115089 t0:58832.244254969504 x0:0.0003407996327659287 x1:0.4393888607646465 z:0.10480763814959779 
SN163: c:-0.021594547995307745 mwebv:0.09713477329960529 t0:58815.95370113146 x0:0.00031727575413436607 x1:0.9610370523647114 z:0.1106451829189536 
SN164: c:-0.03360906342479446 mwebv:0.2055321690533585 t0:58951.326929450515 x0:0.0003702395213752606 x1:0.34355855809793323 z:0.09834970339463323 
SN165: c:0.0020696669429786136 mwebv:0.035693752735675134 t0:58942.29865866571 x0:0.0003383415811699751 x1:-3.0234011844172763 z:0.0991999510780438 
SN166: c:-0.053057554634185225 mwebv:0.3380675118376294 t0:58720.641062950934 x0:0.00033471056226303897 x1:-0.17119446081509662 z:0.1370559071884278 
SN167: c:-0.05479591946630126 mwebv:0.2738176518052327 t0:58938.43238295357 x0:0.0006035502546778689 x1:-0.47223701029658066 z:0.09671909568770104 
SN168: c:0.029156879407434166 mwebv:0.14296439311764247 t0:58900.52685066284 x0:0.00026909951513353996 x1:-0.903832883316066 z:0.13165487202863746 
SN169: c:1.3098509775655904 mwebv:0.034803641182893294 t0:58719.009769380675 x0:0.0001791902015686455 x1:30.768011958558056 z:0.05432858534985955 
SN170: c:-0.03680565305259863 mwebv:0.2892652386576928 t0:58609.19883512044 x0:0.00022805967464548628 x1:0.8326032101908928 z:0.12083870708287502 
SN171: c:-0.061091593169311224 mwebv:0.012540078548288704 t0:58875.75569213277 x0:0.0003359710850861204 x1:0.5890817812494406 z:0.1129764912536184 
SN172: c:0.0005284775857939837 mwebv:0.1420514508117269 t0:58806.77103847636 x0:0.00018523634782947304 x1:0.3676599591148188 z:0.14278821118205523 
SN173: c:-0.027846157418618196 mwebv:1.0283864430797782 t0:58599.16493942305 x0:0.0006215074047547946 x1:0.37475111637212033 z:0.06838146966724959 
SN174: c:-0.01689804955200839 mwebv:0.011157497057697204 t0:58830.082403186716 x0:0.00025626099190605676 x1:0.05233818899787995 z:0.10971169824417924 
SN175: c:-0.04236695916473537 mwebv:0.012709360372853168 t0:58870.62686703623 x0:0.00013894613117932994 x1:0.4528826176997514 z:0.14881055592205844 
SN176: c:-0.07871332603180616 mwebv:0.008636195451351266 t0:58680.18650399714 x0:0.00019368257700670805 x1:0.4591101851540413 z:0.13617954810352365 
SN177: c:-0.034719582269284344 mwebv:0.3806942176917251 t0:58868.490873860625 x0:0.0014948321598672145 x1:0.8223631452781744 z:0.07370828035336043 
SN178: c:-0.008199958143513646 mwebv:0.10619482517005036 t0:58918.218664366104 x0:0.0007840642791048447 x1:-0.30330119989452525 z:0.054634254812914285 
SN179: c:0.00751391707613019 mwebv:0.8521111931307764 t0:58761.85493236846 x0:0.000279865110662259 x1:0.17268850743795955 z:0.11289155520718305 
