SN151: c:0.32563904195351395 t0:9.984530451558845 x0:0.0014347761192088765 x1:1.0306609084647371 
SN152: c:0.07623450017690353 t0:8.27400707305777 x0:0.00011665759310220638 x1:0.6856613535290339 
SN153: c:1.1557870263364929 t0:1.5420740924493677 x0:4.149322005351664 x1:0.7179437818598747 
SN154: c:0.06831262778190834 t0:2.078335286195435 x0:1.2442533631096287e-05 x1:0.7195633949371536 
SN155: c:0.035465971761606936 t0:1.1130469012437325 x0:2.3298257057577697e-05 x1:0.48326544369126206 
SN156: c:0.09046319942784993 t0:4.961226906705962 x0:7.030568716036406e-05 x1:0.7741362724701479 
SN157: c:0.05848855136779753 t0:2.6596299657542506 x0:1.4409586371759793e-05 x1:0.6503618540316389 
SN158: c:0.03785061421581897 t0:1.1877280377538544 x0:0.00010812782566623538 x1:0.44173910552594015 
SN159: c:0.09920728238122214 t0:3.1410357555157806 x0:5.9564182809877975e-05 x1:0.7441501735189864 
SN160: c:0.12298428060964914 t0:5.83876023114478 x0:2.5597603799630665e-05 x1:0.7280477595336451 
SN161: c:0.038921604349487694 t0:0.4498481619399352 x0:1.0454917720635074e-05 x1:0.366960623101011 
SN162: c:0.08123578301371596 t0:11.824129215176395 x0:0.00015147654745269963 x1:0.7723072842058332 
SN163: c:0.03886037586901665 t0:0.6334706584814593 x0:0.00010049189139502794 x1:0.4413971209354031 
SN164: c:0.017278053865183163 t0:0.8906823941525872 x0:4.1959435669765884e-05 x1:0.44299245260774195 
SN165: c:0.03343203815821855 t0:3.0372004287378074 x0:4.717141808127674e-05 x1:0.8707631735275551 
SN166: c:0.09083816829645991 t0:10.29864261066986 x0:0.000796648545910081 x1:0.6461632973208701 
SN167: c:0.054295689869857895 t0:1.1146893979448735 x0:1.0585383241789289e-05 x1:0.9155234935706635 
SN168: c:0.08628655592154275 t0:1.4207406068246562 x0:2.6876972744418694e-05 x1:0.6744463354399117 
SN169: c:0 t0:0 x0:0 x1:0 
SN170: c:0 t0:0 x0:0 x1:0 
SN171: c:0.02730270069865563 t0:0.45875432595772364 x0:2.029669839157062e-05 x1:0.33534230166689827 
SN172: c:0.08209588723110002 t0:11.499327446689504 x0:0.00014287008915645584 x1:0.75031900012313 
SN173: c:0 t0:0 x0:0 x1:0 
SN174: c:0.055616012798237954 t0:1.2329415548082179 x0:2.727086495466864e-05 x1:0.6233101741026826 
SN175: c:0.027948326970008444 t0:0.5554727910725037 x0:1.6483736721261275e-05 x1:0.3482143849056883 
SN176: c:0.07771632631844687 t0:1.008837347147311 x0:2.8007927930278485e-05 x1:0.561130485519 
SN177: c:0.07767484191396236 t0:1.3653676128882286 x0:4.346907390319976e-05 x1:0.600837860662372 
SN178: c:0.07835808216297999 t0:6.174211265508225 x0:0.00018585051046993644 x1:0.7943387847076484 
SN179: c:0.017388289106955647 t0:0.4310216405754375 x0:0.00011218133243272108 x1:0.18994813517793932 
SN180: c:0.059994867979736896 t0:0.6637654543869664 x0:4.081284456816263e-05 x1:0.5393739020110098 
SN181: c:0.020771485812213036 t0:0.4637788399902879 x0:5.230448106056195e-05 x1:0.4448514265291455 
SN182: c:0.0804310249203029 t0:27.21716823154001 x0:0.0019500932085175825 x1:0.7585338591606153 
SN183: c:0.08782245619857194 t0:7.558853836198219 x0:0.00017578671783513493 x1:0.8916452199859644 
SN184: c:0.050592285527023155 t0:3.164247526017939 x0:1.872570675007337e-05 x1:0.6752208277270204 
SN185: c:0 t0:0 x0:0 x1:0 
SN186: c:0.09130015299601014 t0:9.547883508484901 x0:0.00015360929340572062 x1:0.8029022158252835 
SN187: c:0 t0:0 x0:0 x1:0 
SN188: c:0.031162689679150417 t0:1.5918376159670902 x0:0.0002857385963830417 x1:0.5868525611821036 
SN189: c:0.07783221552640276 t0:0.6446076810697473 x0:2.932038244389571e-05 x1:0.613498723259405 
SN190: c:1.019961729559461 t0:1.295456875822425 x0:19.83973037600747 x1:0.6004144829765841 
SN191: c:0.04645213707143879 t0:2.0034508727155895 x0:2.3112354662313415e-05 x1:0.6899733567601284 
SN192: c:0 t0:0 x0:0 x1:0 
SN193: c:0.07989109022751961 t0:10.171062164952353 x0:5.8162265461104606e-05 x1:0.6920586689230576 
SN194: c:0.05043881343004002 t0:1.9884860950227559 x0:7.439258181653674e-05 x1:0.5891840247527519 
SN195: c:0.06744677354727925 t0:11.307305180403848 x0:0.0002735772114099139 x1:0.6504328197470903 
SN196: c:0.07349509925124036 t0:17.576449959409864 x0:0.00023008687596244131 x1:0.7113973814926364 
SN197: c:0.07511705791888733 t0:24.44019648747249 x0:0.0005250514619307745 x1:0.772611053265501 
SN198: c:0.04253998703894206 t0:1.2127392621165787 x0:3.018627298351576e-05 x1:0.6900267967961451 
SN199: c:0.0709937496198548 t0:7.572430174527376 x0:0.00016065932969045049 x1:0.7032703650426073 
