SN128: c:0.014025798713291838 mwebv:0.11799467755683239 t0:58620.41606320891 x0:0.0012885753200619285 x1:-0.8528618853629867 z:0.10011126689275793 
SN129: c:0.005874677177728389 mwebv:0.05646476772397059 t0:58896.22176452117 x0:0.0003965009475928866 x1:0.5809706621117331 z:0.0937465865866695 
SN130: c:0.022938248708474034 mwebv:0.019957283505971937 t0:58737.59967161427 x0:0.0011150418648108642 x1:-0.8246588114487279 z:0.08246548353507556 
SN131: c:0.010995536450086593 mwebv:0.06159085513749217 t0:58747.8419954092 x0:0.00035942853453758056 x1:-0.8384595020548833 z:0.1253460489185665 
SN132: c:0.06444283301607949 mwebv:0.0714183648792613 t0:58785.66214424116 x0:0.0002619745529856323 x1:-0.8065683792531068 z:0.13407670112171208 
SN133: c:0.09239163326968905 mwebv:0.02096474698221321 t0:58720.04352722123 x0:0.0024672535592578496 x1:-0.2694266200784738 z:0.041553698758725166 
SN134: c:0.038561417735813515 mwebv:0.016284374752210687 t0:58594.15333567418 x0:0.00031301821139745225 x1:-0.8947329397048166 z:0.12331159762435337 
SN135: c:0.07180401303861517 mwebv:0.020728466698159535 t0:58861.65630049696 x0:0.00021333236883846687 x1:0.22884927624800352 z:0.14911554581557393 
SN136: c:0.016405889352635622 mwebv:0.10154761197101178 t0:58884.032507334116 x0:0.0002468894255270503 x1:-0.4760787224689905 z:0.11926379391625838 
SN137: c:0.015360756258709026 mwebv:0.022088227274325575 t0:58881.03544807587 x0:0.00029585439714763484 x1:0.15427100256838938 z:0.12099075140400979 
SN138: c:0.02933905307229709 mwebv:0.06186060671710507 t0:58681.918057222305 x0:0.00038037761591563224 x1:-0.7205075637481934 z:0.13154914500489698 
SN139: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN140: c:0.07138651297977748 mwebv:0.04237529870067018 t0:58646.1366850314 x0:0.0003098918790036854 x1:-0.7338699612496722 z:0.13608578063877183 
SN141: c:-0.004094307948249684 mwebv:0.018058658054564337 t0:58617.295412858046 x0:0.0005462396099469083 x1:-0.3641336353884196 z:0.10809631633324594 
